filename,year,place,performer,collector,archive reference,original metadata
"Kmeln_ballads_442.Vohdai, po tim botsi_4st_(2voices)_6+6_(04-БК-02).xml",1927,,,,,"Зап. 1927 р. Харків В. у с. Гаврилівці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-По-
дільського р-ну Хмельницької обл.) від Миляновича Стефана, Корчинського Василя, Левицького 
Миколи. – ІМФЕ, ф. 6-3, од. зб. 77, текст – арк. 75-76 (64), мел. – арк. 77 (65), № 48. Чeрнетка, 
текст і мелодія відновлені."
Kmeln_ballads_443.Oi tuman yarom_4st_(singl)_4+4+6_ (04-БК-02).xml,1987,,,,,"Зап. 1987 р. Гримич М. В. у с. Мокіївці Шепетівського р-ну Хмельницької обл. від Уланової Г. С. – 
ІМФЕ, ф. 14-5, од. зб. 509, арк. 36. Мел. ред. Єфремова Л. О."
"Kmeln_ballads_444. Oi ziidy, ziidy_4st_(2voices)_5+5_ БК-03.xml",1954,,,,,"Зап. 1954 р. експ. ІМФЕ у с. Требухівці Летичівського р-ну Хмельницької обл. від мішаного гурту. 
З слів Спори Ликері. (Прим. зап.). – ІМФЕ, ф. 14-5, од.зб. 171, арк. 33, № 7; плівка ф. 14-10, од. зб. 
340. Розш. Стьожка О. у січні1955 р. Вар. зап. 1937 р. Гайдай М. П. у с. Галузинці Деражнянсько-
го р-ну Хмельницької обл. від Ганни Єфрем. Яковлевої, 45 р., Віри Доротеєвої Яковлевої, 15 р. – 
ІМФЕ, ф. 8-3, од. зб. 182, арк. 144."
"Kmeln_ballads_444_v.Oi ziidy, ziidy_3st_(2voices)_4+6+6_(04+БК-03).xml",1954,,,,,"Зап. 1954 р. експ. ІМФЕ у с. Требухівці Летичівського р-ну Хмельницької обл. від мішаного гурту. 
З слів Спори Ликері. (Прим. зап.). – ІМФЕ, ф. 14-5, од.зб. 171, арк. 33, № 7; плівка ф. 14-10, од. зб. 
340. Розш. Стьожка О. у січні1955 р. Вар. зап. 1937 р. Гайдай М. П. у с. Галузинці Деражнянсько-
го р-ну Хмельницької обл. від Ганни Єфрем. Яковлевої, 45 р., Віри Доротеєвої Яковлевої, 15 р. – 
ІМФЕ, ф. 8-3, од. зб. 182, арк. 144."
Kmeln_ballads_445. Oi de zh zhe ty nochuvav_6st_(singl)_5+6+7+6_ ###_204-БК-05-2.xml,1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од.зб. 119,арк. 54-55, № 30. "
Kmeln_ballads_446.Oi chyie zh to pole_6st_(2voices)_6+6^4+4+6_(04-БК-05).xml,1928,,,,,"Зап. [1928 р.] Харків В. Й. у с. Борсуки Староушицького р-ну Кам’янецької окр. (нині Новоушиць-
кого р-ну Хмельницької обл.) від Мехтодія Ткачука. – ІМФЕ, ф. 6-3, од. зб. 81, арк. 78 (91) (текст), 
арк. 79 (92) (мел.) № 4. Чeрнетка."
Kmeln_ballads_447.Oi chyie zh to voly_6st_(heterof)_6+6^4+4+6_r_(04-БК-05).xml,1978,,,,,"Зап. 19 липня 1978 р. Дем’ян Г. В. у с. Студениця Кам’янець-Подільського р-ну Хмельницької обл. 
від Буймистер Ганни Сергіївни, 1929 р. н.,  Буймистер Ганни Іванівни, 1929 р. н.,  Буймистер Ган-
ни Петрівни, 1930 р. н.,  Гаврищук Ольги Петрівни, 1933 р. н. і Данилюк  Наталії Василівни, 1924 
р. н. – ІМФЕ, ф. 14-3, од.зб. 973, арк. 64 (текст), арк. 233 (мел.), № 45. Нотація Мишанича М. В."
Kmeln_ballads_448.Oi na hori yachmin_4st_(3voices)_6+6^4+4+6_(04-БК-05).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівки Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 18."
Kmeln_ballads_449.Oi na hori zhyto_4st_(singl)_6+6^4+4+6_ (04-БК-05а).xml,1978,,,,,"Зап. 19 липня 1978 р. Дем’ян Г. В. у с. Студениця Кам’янець-Подільського р-ну Хмельницької обл. 
від Мазур Ольги Федорівни, 1924 р. н. – ІМФЕ, ф. 14-3, од.зб. 973, арк. 62 (текст), арк. 233 (мел.), 
№ 43. Нотація Мишанича М. В."
Kmeln_ballads_450.Oi u misti Rusalymi_6st_(singl)_6+6^4+4+6_r_ (04-БК-06-2).xml,1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну. ІМФЕ, ф. 6-4, од. 
зб. 119, арк. 95, № 63."
