filename	Name in catalogue	Original title	Transliterated title	Type	year	collector	place	performer	archive reference	original metadata	Number of voices	Performer gender or age	audio recording	additional remarks	filename_new
Vinnytsia_001_children_Oi khodyv Son kolo vikon (ДС-КД-01)_singl.xml	ДС-КД-01	Оі ходив Сон коло вікон 	Oi khodyv Son kolo vikon 	children	2008	Матіяш Д., Кушка Т.	с. Павлівка Калинівського р-ну Вінницької обл. 	-	"Розшифр. 
Єфремова Л. О., № 17 (190)."	"Зап. 24.05 2008 р. Матіяш Д., Кушка Т. у с. Павлівка Калинівського р-ну Вінницької обл. Розшифр. 
Єфремова Л. О., № 17 (190)."	singl				Vinnytsia_001_Oi khodyv Son kolo vikon
Vinnytsia_002_children_Oi khodyt Son kolo vikon (ДС-КД-01)_singl.xml	ДС-КД-01	Оі ходит Сон коло вікон 	Oi khodyt Son kolo vikon 	children	2007	Кушка Т. Я., Матіяш Д. В.	"с. Устя Бершадського р-ну Вінницької обл.
"	-	Розшифр. Єфремова Л. О. № 65 (445).	"Зап. у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл.
Розшифр. Єфремова Л. О. № 65 (445)."	singl				Vinnytsia_002_Oi khodyt Son kolo vikon
Vinnytsia_003_children_Oi khodyt Son kolo vikon (ДС-КД-01)_singl.xml	ДС-КД-01	Оі ходит Сон коло вікон 	Oi khodyt Son kolo vikon 	children	-	Матіяш Д., Кушка Т.	с. Стіна Томашпільського р-ну Вінницької обл. 	-	Розшифр. Єфремова Л. О., № 13 (257).	"Зап. Матіяш Д., Кушка Т. у с. Стіна Томашпільського р-ну Вінницької обл. Розшифр. Єфремова 
Л. О., № 13 (257)."	singl				Vinnytsia_003_Oi khodyt Son kolo vikon
Vinnytsia_004_children_Oi khodyt Son kolo vikon (ДС-КД-01+КЗ-02)_singl.xml	ДС-КД-01+КЗ-02	Оі ходит Сон коло вікон 	Oi khodyt Son kolo vikon 	children	-	Гарбулінська Тетяна	с. Стіна Томашпільського р-ну Вінницької обл. 	Гідрович Марія Христофорівна	З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 1 (4).	"Зап. Гарбулінська Т. Є. у с. Стіна Томашпільського р-ну Вінницької обл. від Гідрович Марії Хри-
стофорівни. З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 1 (4)."	singl	woman			Vinnytsia_004_Oi khodyt Son kolo vikon
Vinnytsia_005_children_A-a, a-a, liuli (ДС-КД-01+КЗ-02)_singl.xml	ДС-КД-01+КЗ-02	А-а, а-а, ліулі 	A-a, a-a, liuli 	children	2008	Матіяш Д., Кушка Т.	"с. Павлівка Калинівського р-ну Вінницької обл. 
"	-	Розшифр. Єфремова Л. О., № 17 (192).	"Зап. 24.05 2008 р. Матіяш Д., Кушка Т. у с. Павлівка Калинівського р-ну Вінницької обл. 
Розшифр. Єфремова Л. О., № 17 (192)."	singl				Vinnytsia_005_A-a, a-a, liuli
Vinnytsia_006_children_Oi nu, liuli, liuli (ДС-КД-05)_singl.xml	ДС-КД-05	Оі ну, ліулі, ліулі 	Oi nu, liuli, liuli 	children	2008	Матіяш Д., Кушка Т.	"с. Павлівка Калинів-
ського р-ну Вінницької обл. "	-	"Розшифр. Єфремова Л. О., № 17 
(193)."	"Зап. 24.05 2008 р. Матіяш Д., Кушка Т. у с. Павлівка Калинів-
ського р-ну Вінницької обл. Розшифр. Єфремова Л. О., № 17 
(193)."	singl				Vinnytsia_006_Oi nu, liuli, liuli
Vinnytsia_007_children_Kotyku sirenkii (ДС-КД-07)_singl.xml	ДС-КД-07	Котику сіренкіі 	Kotyku sirenkii 	children	2008	Матіяш Д., Кушка Т.	с. Павлівка Калинівського р-ну Вінницької обл. 	Гунько Валентина Михайлівна 	Розшифр. Єфремова Л. О., № 17 (191).	"Зап. 24.05 2008 р. Матіяш Д., Кушка Т. у с. Павлівка Калинівського р-ну Вінницької обл. від Гунь-
ко Валентини Михайлівни. Розшифр. Єфремова Л. О., № 17 (191)."	singl	woman			Vinnytsia_007_Kotyku sirenkii
Vinnytsia_008_children_Kotyku sirenkyi (ДС-КД-07)_singl.xml	ДС-КД-07	Котику сіренкї 	Kotyku sirenkyi 	children	2007	Кушка Т. Я., Матіяш Д. В.	с. Устя Бершадського р-ну Вінницької обл. 	-	Розшифр. Єфремова Л. О. № 67 (447).	"Зап. у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. Роз-
шифр. Єфремова Л. О. № 67 (447)."	singl				Vinnytsia_008_Kotyku sirenkyi
Vinnytsia_009_children_A-a, kotochok (ДС-КД-13а)_singl.xml	ДС-КД-13а	А-а, коточок 	A-a, kotochok 	children	2007	Кушка Т. Я., Матіяш Д. В.	с. Устя Бершадського р-ну Вінницької обл. 	-	Розшифр. Єфремова Л. О. № 29 (409).	"Зап. у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. Роз-
шифр. Єфремова Л. О. № 29 (409)."	singl				Vinnytsia_009_A-a, kotochok
Vinnytsia_010_children_Kotu, kotu, kotku (ДС-КД-15)_singl.xml	ДС-КД-15	Коту, коту, котку 	Kotu, kotu, kotku 	children	2007	Кушка Т. Я., Матіяш Д. В.	"с. Гущинці Калинівського 
р-ну Вінницької обл. "	-	Розшифр. Єфремова Л. О. № 22 (635). 	"Зап. 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Гущинці Калинівського 
р-ну Вінницької обл. Розшифр. Єфремова Л. О. № 22 (635). "	singl				Vinnytsia_010_Kotu, kotu, kotku
