filename;Ukrainian title;Transliterated title;Name in catalogue;year;collector;place;performer;number_of_voices; performer gender and age;Syllabic structure;Strophes;archive reference;original metadata;audio recording;additional remarks
Kmeln_ballads_442_Vohdai, po tim botsi;Вогдай, по тім боці;Vohdai, po tim botsi;04-БК-02;1927;Харків Володимир;"с. Гаврилівці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-По-
дільського р-ну Хмельницької обл.)";"Милянович Стефан, Корчинський Василь, Левицький 
Микола";2 voices;men;6+6;4st;ІМФЕ, ф. 6-3, од. зб. 77, текст – арк. 75-76 (64), мел. – арк. 77 (65), № 48. Чeрнетка, текст і мелодія відновлені.;"Зап. 1927 р. Харків В. у с. Гаврилівці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-По-
дільського р-ну Хмельницької обл.) від Миляновича Стефана, Корчинського Василя, Левицького 
Миколи. – ІМФЕ, ф. 6-3, од. зб. 77, текст – арк. 75-76 (64), мел. – арк. 77 (65), № 48. Чeрнетка, 
текст і мелодія відновлені.";;
Kmeln_ballads_444_Oi ziidy, ziidy;Ой зійди, зійди;Oi ziidy, ziidy;БК-03;1954;;с. Требухівці Летичівського р-ну Хмельницької обл.;"мішаний гурт
";2 voices;mixed group;5+5;4st;"ІМФЕ, ф. 14-5, од.зб. 171, арк. 33, № 7; плівка ф. 14-10, од. зб. 
340. Розш. Стьожка О. у січні1955 р.";"Зап. 1954 р. експ. ІМФЕ у с. Требухівці Летичівського р-ну Хмельницької обл. від мішаного гурту. 
З слів Спори Ликері. (Прим. зап.). – ІМФЕ, ф. 14-5, од.зб. 171, арк. 33, № 7; плівка ф. 14-10, од. зб. 
340. Розш. Стьожка О. у січні1955 р. Вар. зап. 1937 р. Гайдай М. П. у с. Галузинці Деражнянсько-
го р-ну Хмельницької обл. від Ганни Єфрем. Яковлевої, 45 р., Віри Доротеєвої Яковлевої, 15 р. – 
ІМФЕ, ф. 8-3, од. зб. 182, арк. 144.";"плівка ф. 14-10, од. зб. 
340";
Kmeln_ballads_444_v_Oi ziidy, ziidy;Ой зійди, зійди;Oi ziidy, ziidy;04+БК-03;1937;Гайдай Михайло;с. Галузинці Деражнянсько- го р-ну Хмельницької обл.;Яковлева Ганна 45 р., Яковлева Віра 15 р.;2 voices;women;4+6+6;3st;ІМФЕ, ф. 8-3, од. зб. 182, арк. 144.;"Зап. 1954 р. експ. ІМФЕ у с. Требухівці Летичівського р-ну Хмельницької обл. від мішаного гурту. 
З слів Спори Ликері. (Прим. зап.). – ІМФЕ, ф. 14-5, од.зб. 171, арк. 33, № 7; плівка ф. 14-10, од. зб. 
340. Розш. Стьожка О. у січні1955 р. Вар. зап. 1937 р. Гайдай М. П. у с. Галузинці Деражнянсько-
го р-ну Хмельницької обл. від Ганни Єфрем. Яковлевої, 45 р., Віри Доротеєвої Яковлевої, 15 р. – 
ІМФЕ, ф. 8-3, од. зб. 182, арк. 144.";;
Kmeln_ballads_445_Oi de zh zhe ty nochuvav;Ой де ж же ти ночував;Oi de zh zhe ty nochuvav;204-БК-05-2;1918;Постоловський А.;с.Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл.;-;single;;5+6+7+6;6st;ІМФЕ, ф. 6-4, од.зб. 119,арк. 54-55, № 30.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од.зб. 119,арк. 54-55, № 30. ";;
Kmeln_ballads_446_Oi chyie zh to pole;Ой чиє ж то поле;Oi chyie zh to pole;04-БК-05;1928;Харків Володимир;"с. Борсуки Староушицького р-ну Кам’янецької окр. (нині Новоушиць-
кого р-ну Хмельницької обл.)";Мехтодій Ткачук;2 voices;man;6+6^4+4+6;6st;"ІМФЕ, ф. 6-3, од. зб. 81, арк. 78 (91) (текст), 
арк. 79 (92) (мел.) № 4. Чeрнетка.";"Зап. [1928 р.] Харків В. Й. у с. Борсуки Староушицького р-ну Кам’янецької окр. (нині Новоушиць-
кого р-ну Хмельницької обл.) від Мехтодія Ткачука. – ІМФЕ, ф. 6-3, од. зб. 81, арк. 78 (91) (текст), 
арк. 79 (92) (мел.) № 4. Чeрнетка.";;
Kmeln_ballads_447_Oi chyie zh to voly;Ой чиї ж то воли;Oi chyie zh to voly;04-БК-05;1978;Дем’ян Григорій;с. Студениця Кам’янець-Подільського р-ну Хмельницької обл.;Буймистер Ганна Сергіївна, 1929 р. н., Буймистер Ганна Іванівна, 1929 р. н., Буймистер Ганна Петрівна, 1930 р. н., Гаврищук Ольга Петрівна, 1933 р. н., Данилюк Наталія Василівна, 1924 р. н.;heterof;group of women;6+6^4+4+6_r;6st;ІМФЕ, ф. 14-3, од.зб. 973, арк. 64 (текст), арк. 233 (мел.), № 45. Нотація Мишанича М. В.;"Зап. 19 липня 1978 р. Дем’ян Г. В. у с. Студениця Кам’янець-Подільського р-ну Хмельницької обл. 
від Буймистер Ганни Сергіївни, 1929 р. н.,  Буймистер Ганни Іванівни, 1929 р. н.,  Буймистер Ган-
ни Петрівни, 1930 р. н.,  Гаврищук Ольги Петрівни, 1933 р. н. і Данилюк  Наталії Василівни, 1924 
р. н. – ІМФЕ, ф. 14-3, од.зб. 973, арк. 64 (текст), арк. 233 (мел.), № 45. Нотація Мишанича М. В.";;
Kmeln_ballads_449_Oi na hori zhyto;Ой на горі жито;Oi na hori zhyto;04-БК-05а;1978;Дем’ян Григорій;с. Студениця Кам’янець-Подільського р-ну Хмельницької обл.;Мазур Ольга Федорівна, 1924 р. н.;single;woman;6+6^4+4+6;4st;"ІМФЕ, ф. 14-3, од.зб. 973, арк. 62 (текст), арк. 233 (мел.), 
№ 43. Нотація Мишанича М. В.";"Зап. 19 липня 1978 р. Дем’ян Г. В. у с. Студениця Кам’янець-Подільського р-ну Хмельницької обл. 
від Мазур Ольги Федорівни, 1924 р. н. – ІМФЕ, ф. 14-3, од.зб. 973, арк. 62 (текст), арк. 233 (мел.), 
№ 43. Нотація Мишанича М. В.";;
Kmeln_ballads_450_Oi u misti Rusalymi;Ой у місті Русалимі;Oi u misti Rusalymi;04-БК-06-2;1918;Постоловський А.;с.Чорнокозинці Кам'янець-Подільського р-ну;-;single;;6+6^4+4+6_r;6st;"ІМФЕ, ф. 6-4, од. 
зб. 119, арк. 95, № 63.";"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну. ІМФЕ, ф. 6-4, од. 
зб. 119, арк. 95, № 63.";;
Kmeln_ballads_451_Khodyt Ivan ponad Dunai;Ходить Іван понад Дунай;Khodyt Ivan ponad Dunai;04-БК-06-3;-;Лисенко Микола;"с. Гаврилівці Кам’янецького пов. Подольської губ. (нині Кам’янець-Поділь-
ського р-ну Хмельницької обл.";Лободовський М.;single;man;6+6^4+4+6;4st;"ІМФЕ, ф. 24-5, од. зб. 32, арк. 6 (мел.); од. 
зб. 77, арк. 14-15, № 3";"Зап. Лисенко Микола у с. Гаврилівці Кам’янецького пов. Подольської губ. (нині Кам’янець-Поділь-
ського р-ну Хмельницької обл. від [Лободовського]. – ІМФЕ, ф. 24-5, од. зб. 32, арк. 6 (мел.); од. 
зб. 77, арк. 14-15, № 3";; (текст надіслано М. Лисенкові М. Лободовським)
Kmeln_ballads_452_Nastupaie chorna khmara;Наступає чорна хмара;Nastupaie chorna khmara;04-БК-06-1;-;-;-;-;;;;;-;-;;
